ResponseId,Pet,Age,Female,pain1,frequ,pain2,love1,love2,love3,attention,paindrop,loveAVG,filter
R_00MCsCgj1ra4G7T,1,30,1,6,4,3,6,7,7,2,3,6.666666667,1
R_0chUnf4i0mQNFV7,0,38,0,4,5,1,4,3,4,2,3,3.666666667,1
R_0cv3kZZ1OfqblE5,1,33,0,3,5,3,4,5,4,2,0,4.333333333,0
R_0NTaLi8cZ7b0twJ,0,38,0,5,4,5,6,4,5,2,0,5,0
R_0TUf7X3T9YdiV8t,0,35,1,6,5,6,7,5,5,2,0,5.666666667,1
R_0uE8H3lDDppNvEt,1,26,0,2,5,1,7,6,7,2,1,6.666666667,1
R_10BsiVmgoWDfoQE,0,30,0,6,5,1,4,5,7,2,5,5.333333333,0
R_10C1jP9vKfuRMR3,0,21,0,5,4,3,3,2,3,2,2,2.666666667,0
R_10Mj7cn0aTL33Ra,1,48,0,5,5,1,7,7,7,2,4,7,1
R_10PCrTIsMljuJg7,0,33,0,5,5,1,4,4,6,2,4,4.666666667,1
R_10pZ1o501bUVcqD,0,33,1,1,5,2,7,1,2,2,-1,3.333333333,1
R_10xhhhw3a2RNytS,0,55,0,2,5,1,7,7,7,2,1,7,1
R_110lYmN8BMNGYA7,1,25,0,5,5,1,7,7,6,2,4,6.666666667,1
R_114okLJi6P09afd,0,56,1,6,5,4,7,5,5,2,2,5.666666667,1
R_1173z4yQoGhmNGr,0,38,0,4,4,4,5,6,4,7,0,5,0
R_11aUBjuFwo1Mn2y,0,56,0,4,5,3,6,4,6,2,1,5.333333333,1
R_129fxuiDie9yf3P,0,35,0,4,4,4,2,3,7,2,0,4,1
R_12Qgr6a4T5Xx8PX,0,39,0,4,5,1,7,7,7,2,3,7,1
R_12RPpkdsHrcPrDE,0,33,0,4,4,4,2,7,3,2,0,4,0
R_1BVsl4xLUSDu2cZ,1,22,1,3,2,1,7,7,7,2,2,7,1
R_1Cee760wbbOB2hE,1,57,1,6,5,1,7,7,7,2,5,7,1
R_1CrNOIoTMqgS1Dk,1,44,0,6,5,6,5,6,6,2,0,5.666666667,0
R_1CvVsGPOh24GLFt,1,62,1,6,5,6,7,7,7,2,0,7,1
R_1d0oDc5wJcOv2dB,0,35,1,5,5,6,7,7,7,2,-1,7,0
R_1d9VesQQQ3a9C2v,0,,,4,4,5,5,4,6,6,-1,5,0
R_1dagNpI6aEzR3xW,1,35,1,4,5,1,7,7,7,2,3,7,1
R_1DBIDAI3mbqSI2k,0,40,0,4,5,1,7,4,6,2,3,5.666666667,1
R_1dh8RKwlE10pEOx,1,54,0,1,2,2,6,7,7,2,-1,6.666666667,1
R_1dNzFb9UcZb18yO,1,42,0,5,5,3,7,7,7,2,2,7,1
R_1DONe1BWGwajtiS,0,28,1,5,3,5,6,6,5,2,0,5.666666667,1
R_1DooxloMxqZTfL1,1,52,0,5,3,3,6,6,5,2,2,5.666666667,1
R_1DS7sp9Ih5dJWQL,1,35,0,6,2,1,5,4,3,2,5,4,1
R_1duFzVzjI9UTw8v,1,44,0,6,4,4,6,6,6,2,2,6,1
R_1dy02n5pGtReTtp,1,30,0,1,4,2,7,7,7,2,-1,7,0
R_1DZlBKiDDaY7LWc,0,41,1,4,5,4,7,3,6,2,0,5.333333333,1
R_1EbUjlrfeeo85RY,1,42,1,3,1,2,7,7,7,2,1,7,1
R_1eFakreLSlVxlJp,0,28,0,6,5,4,7,6,7,2,2,6.666666667,1
R_1eqtLNXNsaUeNrO,0,28,0,6,5,1,3,2,6,2,5,3.666666667,1
R_1ewUmwKOiqTW7Mr,0,22,1,6,5,1,7,7,7,2,5,7,1
R_1f7zs2nGT0V99aD,1,32,1,3,5,1,7,7,7,2,2,7,1
R_1f8lnwXLFPtLdJD,1,30,0,6,4,1,7,6,7,2,5,6.666666667,0
R_1fdPe5IYbsb16E7,0,21,0,3,2,3,4,4,4,2,0,4,1
R_1FJLQSRK684CSGi,1,45,0,1,4,1,6,5,6,2,0,5.666666667,0
R_1FtUexDPtj0d9AB,0,32,0,1,2,1,4,4,4,2,0,4,1
R_1g2ra2A2LbGOcTw,0,39,1,5,5,4,6,6,7,2,1,6.333333333,1
R_1ghmVsLT8Ynfdyl,1,,,5,5,5,6,6,7,7,0,6.333333333,0
R_1GKdMNJkXZgSuA6,1,49,2,4,4,2,6,6,5,2,2,5.666666667,1
R_1gOP3Z7cB7RpsNm,1,29,1,3,4,4,6,6,7,2,-1,6.333333333,1
R_1gorQhE7VAZfIgA,1,22,1,3,5,1,7,7,7,2,2,7,1
R_1gRuvDZq1LqXKpA,0,43,1,6,5,1,7,7,7,2,5,7,0
R_1GUiYFemgLmiuZd,1,33,0,3,4,3,6,6,6,2,0,6,1
R_1H8kxUgqNASIr7z,0,36,0,4,5,2,7,5,4,2,2,5.333333333,1
R_1hA65RhEz3sv0WE,1,33,0,6,5,4,7,5,7,2,2,6.333333333,1
R_1Hc50hUT8VsgDOc,0,31,1,4,4,2,6,5,5,2,2,5.333333333,1
R_1HcRA3CalIcvdpv,1,61,1,5,3,4,4,6,5,2,1,5,0
R_1Hkne9WT1gauXVW,1,55,1,4,4,4,6,5,6,2,0,5.666666667,0
R_1hLkc9WbgOW1CaB,0,31,1,4,4,4,7,7,7,2,0,7,1
R_1HnHBltvGmuNCmP,1,36,1,3,4,2,2,7,6,2,1,5,1
R_1HqLdYKuibun1Au,0,47,0,3,3,1,6,6,7,2,2,6.333333333,1
R_1i54Iz2jZ6qLqgS,1,30,0,5,5,1,5,7,6,2,4,6,0
R_1ib1Uf2c1XqXDL0,1,40,0,3,4,1,7,7,7,2,2,7,1
R_1Ic4WjEpC4Zlfgc,1,42,0,6,5,6,6,5,4,2,0,5,1
R_1iewcvGKyYu2fTD,1,54,0,4,5,2,3,4,3,2,2,3.333333333,0
R_1ihAhiXQcsH9zSu,0,51,1,4,3,4,4,5,5,2,0,4.666666667,0
R_1IizlKLDN0fsxco,1,30,1,5,4,4,5,7,6,2,1,6,1
R_1ITonavJTH3efw2,1,34,0,5,4,2,5,6,5,2,3,5.333333333,1
R_1j9DvCZCu5l91sA,1,36,0,6,4,2,7,7,7,2,4,7,1
R_1jCf5BaVqCdODVE,0,60,1,6,4,2,7,7,6,2,4,6.666666667,1
R_1jeNM4g3rrkmEUU,1,31,1,6,4,3,7,7,7,2,3,7,1
R_1JORzBn5JJQ2Sgq,0,26,0,6,5,3,6,3,6,2,3,5,0
R_1joZYZbLGmKcSba,1,26,0,4,5,3,7,7,7,2,1,7,1
R_1JWKfF4AEgY8INk,0,28,1,5,5,5,7,7,7,2,0,7,1
R_1K0U1VmUpNxT1tZ,1,46,0,5,5,1,7,7,7,2,4,7,1
R_1K11zrnRbWZeXq6,1,26,0,3,2,3,5,5,5,2,0,5,1
R_1k1gInrCNkBfD0f,0,40,0,4,4,4,3,1,4,2,0,2.666666667,1
R_1K2aQfqAslNxcut,1,45,0,3,3,1,7,7,7,2,2,7,1
R_1KjbZvObHn0jf7X,1,30,0,4,5,4,7,7,7,2,0,7,1
R_1kLDmxszTguFc7m,1,25,0,5,5,5,6,5,3,2,0,4.666666667,0
R_1kNQ3pxSkwkGLEp,1,36,0,3,4,1,2,2,3,2,2,2.333333333,1
R_1KoTdB0t44OP7oq,0,35,0,4,3,2,7,7,7,2,2,7,1
R_1KpVOoXus7kONJs,0,29,0,3,3,5,6,6,6,2,-2,6,1
